fullName,username,email,password,avatar,status
Jamie Jones,user0_pamela88,user0_xthompson@example.com,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
James Grant,user1_kyleharrington,user1_timothy97@example.net,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
John Ferguson,user2_madelineadams,user2_jameshiggins@example.com,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Danielle Lee,user3_gary75,user3_angelamartinez@example.com,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Mary Riley,user4_wendy36,user4_bsmith@example.net,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Danny Castillo,user5_jhernandez,user5_brenda77@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Shawn Anderson,user6_zmunoz,user6_tylerreid@example.net,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Reginald Jones,user7_langpatricia,user7_karen95@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
William Davis,user8_hdyer,user8_taguirre@example.com,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Jennifer Collins,user9_harrisblake,user9_rochatara@example.net,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
